WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
the                      5     5     3     3    11   326   207     3     3   305    3511
compromise               5     5    10    10    20   327   634     8     8   306       6
instead.                 5     5     8     7    29   328   314     6     6   307      19
Getting                  5     5     7     7    38   329   202     6     6   308      23
the                    -99     0     0     0     0   330     0     0     0     0       0
Lords                    5     5     5     5    49   331    86     5     5   309       9
to                     -99     0     0     0     0   332     0     0     0     0       0
decide                   5     5     6     6    55   333    55     2     2   310       3
decide                   5     5     6     6    58   333   244     5     5   311       3
that                   -99     0     0     0     0   334     0     0     0     0       0
the                      5     5     3     3    68   335   372     3     3   312    3511
'Middle                  5     5     7     6    74   336   480     5     4   313      12
Way'                     6     1     4     3     3   337   137     3     3   314      58
compromise               6     1    10    10     9   338   171     4     4   315       6
compromise               6     1    10    10     6   338   287     1     1   316       6
compromise               6     1    10    10    12   338   160     7     7   317       6
scheme                   6     1     6     6    22   339   399     6     6   318      22
is                     -99     0     0     0     0   340     0     0     0     0       0
the                      6     1     3     3    27   341   283     1     1   319    3511
lesser                   6     1     6     6    34   342   187     4     4   320       1
of                     -99     0     0     0     0   343     0     0     0     0       0
two                    -99     0     0     0     0   344     0     0     0     0       0
evils                    6     1     5     5    44   345   334     0     0   321       1
depends,                 6     1     8     7    52   346   432     2     2   322       4
however,                 6     1     8     7    66   347   139     7     7   323      38
on                     -99     0     0     0     0   348     0     0     0     0       0
the                      6     1     3     3    72   349   327     1     1   324    3511
credibility              6     2    11    11     4   350   262     4     4   325       2
of                     -99     0     0     0     0   351     0     0     0     0       0
the                    -99     0     0     0     0   352     0     0     0     0       0
threat                   6     2     6     6    21   353   263     2     2   326       7
to                     -99     0     0     0     0   354     0     0     0     0       0
use                      6     2     3     3    31   355   408     2     2   327      28
the                      6     2     3     3    33   356   202     0     0   329    3511
Parliament               6     2    10    10    41   357   176     4     4   328      14
Parliament               6     2    10    10    45   357   169     8     8   330      14
