WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
of                     -99     0     0     0     0   311     0     0     0     0       0
bathos,                  5     4     7     6    72   312   379     1     1   327       1
Four                   -99     0     0     0     0   313     0     0     0     0       0
slid                     5     5     4     4     8   314   103     3     3   329       1
slid                     5     5     4     4     5   314    98     0     0   330       1
down                     5     5     4     4    11   315   141     1     1   331      38
the                      5     5     3     3    17   316   106     2     2   334    3511
slipway                  5     5     7     7    20   317    82     1     1   333       1
slipway                  5     5     7     7    26   317   202     7     7   335       1
at                     -99     0     0     0     0   318     0     0     0     0       0
the                      5     5     3     3    33   319   200     3     3   337    3511
the                      5     5     3     3    30   319    66     0     0   338    3511
weekend                  5     5     7     7    36   320   223     2     2   336       5
not                    -99     0     0     0     0   321     0     0     0     0       0
with                     5     5     4     4    46   322   243     0     0   339     393
some                     5     5     4     4    51   323    99     0     0   340      86
operatic                 5     5     8     8    56   324   200     0     0   341       1
operatic                 5     5     8     8    60   324   203     4     4   342       1
blockbuster              5     5    11    11    69   325   215     4     4   343       1
blockbuster              5     5    11    11    72   325   102     7     7   344       1
but                      5     5     3     3    78   326   275     1     1   345     325
a                      -99     0     0     0     0   327     0     0     0     0       0
Dadaist                  6     1     7     7     8   328   303     6     6   347       1
Dadaist                  6     1     7     7     9   328   196     7     7   350       1
squib:                   6     1     6     5    16   329   151     6     6   348       1
squib:                   6     1     6     5    13   329   190     3     3   349       1
squib:                   6     1     6     5    13   329   395     3     3   352       1
a                        6     1     1     1    18   330   302     1     1   351    1434
film                   -99     0     0     0     0   331     0     0     0     0       0
about                    6     1     5     5    25   332   478     1     1   353     164
about                    6     1     5     5    29   332   196     5     5   354     164
the                    -99     0     0     0     0   333     0     0     0     0       0
artist                   6     1     6     6    40   334   144     6     6   355       5
artist                   6     1     6     6    39   334   189     5     5   356       5
Michael                  6     1     7     7    46   335   374     5     5   357       4
Landy,                   6     1     6     5    53   336   282     4     4   358       1
who                    -99     0     0     0     0   337     0     0     0     0       0
trashed                  6     1     7     7    61   338   244     1     1   359       2
trashed                  6     1     7     7    67   338   132     7     7   360       2
his                      6     1     3     3    69   339   163     1     1   362     161
7,000                    6     1     5     4    72   340   162     0     0   361     -99
7,000                    6     1     5     4    74   340    77     2     2   363     -99
possessions            -99     0     0     0     0   341     0     0     0     0       0
in                     -99     0     0     0     0   342     0     0     0     0       0
the                      6     2     3     3    18   343   151     3     3   367    3511
window                   6     2     6     6    22   344   235     3     3   364       4
window                   6     2     6     6    25   344   163     6     6   365       4
of                     -99     0     0     0     0   345     0     0     0     0       0
a                      -99     0     0     0     0   346     0     0     0     0       0
defunct                  6     2     7     7    35   347   163     4     4   366       1
defunct                  6     2     7     7    37   347   147     6     6   368       1
defunct                  6     2     7     7    35   347    89     4     4   369       1
West                     6     2     4     4    42   348   192     3     3   370       8
End                      6     2     3     3    45   349   296     1     1   371      32
store.                   6     2     6     5    49   350    64     1     1   372       6
store.                   6     2     6     5    54   350   205     6     6   373       6
It                     -99     0     0     0     0   351     0     0     0     0       0
bore                     6     2     4     4    61   352   306     3     3   374       3
the                    -99     0     0     0     0   353     0     0     0     0       0
title                    6     2     5     5    67   354   152     0     0   375       8
title                    6     2     5     5    71   354   145     4     4   376       8
The                    -99     0     0     0     0   355     0     0     0     0       0
Man                      6     2     3     3    77   356   177     0     0   377      21
who                    -99     0     0     0     0   357     0     0     0     0       0
Destroyed                6     3     9     9    12   358   178     8     8   378       4
Everything.              6     3    11    10    21   359   236     7     7   379      13
As                     -99     0     0     0     0   360     0     0     0     0       0
far                      6     3     3     3    32   361   281     3     3   381      39
as                       6     3     2     2    35   362    95     2     2   380     422
the                    -99     0     0     0     0   363     0     0     0     0       0
BBC                      6     3     3     3    42   364   188     2     2   382      21
goes,                    6     3     5     4    49   365   298     5     5   383      13
Rupert                   6     3     6     6    54   366   195     4     4   384       2
Murdoch                  6     3     7     7    60   367   140     3     3   385       3
would                    6     3     5     5    69   368   175     4     4   386     146
would                    6     3     5     5    67   368    52     2     2   387     146
would                    6     3     5     5    69   368   149     4     4   390     146
wish                     6     3     4     4    72   369   188     1     1   388       5
for                      6     3     3     3    76   370   203     0     0   389     519
no                     -99     0     0     0     0   371     0     0     0     0       0
other                  -99     0     0     0     0   372     0     0     0     0       0
epitaph.                 6     4     8     7     9   373   229     0     0   391       1
epitaph.                 6     4     8     7    15   373   350     6     6   392       1
epitaph.                 6     4     8     7    14   373   118     5     5   393       1
The                    -99     0     0     0     0   374     0     0     0     0       0
details                  6     4     7     7    27   375   162     1     1   394       2
details                  6     4     7     7    32   375   204     6     6   395       2
