WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
wonder                   8     2     6     6    75   489    98     3     3    -5       8
television               8     3    10    10     9   491    78     5     5   -99      13
*Blink                   8   -99    10    10   -99   -99   142   -99   -99   -99     -99
television               8     3    10    10    12   491   243     8     8   -99      13
audience                 8     3     8     8    22   492   245     7     7   -10       5
this                     8     3     4     4    33   495   170     4     4   -11     293
country                  8     3     7     7    39   496   158     5     5    -6      32
any                      8     3     3     3    48   498   311     3     3    -9      58
this                     8     3     4     4    32   495   204     3     3    16     293
been                     8     3     4     4    61   502   205     1     1   -29     178
attracted                8     3     9     9    71   504   232     3     3   -10       2
to                       8     3     2     2    78   505    94     0     0    -7    1597
snooker-like             8     4    12    12    15   507   229    11    11   -99     -99
qualities                8     4     9     9    22   508   247     5     5    -7       7
qualities                8     4     9     9    26   508    94     9     9    -4       7
the                      8     4     3     3    33   510   163     3     3    -7    3511
peaceful,                8     4     9     8    38   511   189     4     4    -5       1
wholesome                8     4     9     9    48   512   252     4     4   -10       1
sport                    8     4     5     5    57   513   217     3     3    -9       6
brushing                 8     4     8     8    66   515   235     3     3    -9       1
ice                      8     4     3     3    72   516   159     0     0    -6       3
a                        8     5     1     1    15   519   198     0     0   -99    1434
broom.                   8     5     6     5    18   520   173     1     1    -3       1
drugs                    8     5     5     5    29   522   288     2     2   -11       5
violence                 8     5     8     8    36   524    99     0     0    -7       8
there,                   8     5     6     5    48   525   126     3     3   -12     189
it                       8     5     2     2    56   527   161     0     0    -8     544
is                       8     5     2     2    61   528   110     2     2    -5     717
little                   8     5     6     6    67   530   180     3     3    -6      33
it                       8     5     2     2    57   527   224     1     1    10     544
is                       8     5     2     2    61   528   143     2     2    -4     717
a                        8     5     1     1    63   529   136     1     1    -2    1434
disillusioning           9     1    14    14    11   531   136    11    11     0       1
disillusioning           9     1    14    14     8   531    70     8     8     3       1
disillusioning           9     1    14    14     8   531   178     8     8     0       1
