WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
that                     4     5     4     4     2   245    89     2     2     9     871
the                      4     5     3     3    24   249   150     3     3   -22    3511
up                       4     5     2     2    20   248   275     2     2     4     135
use                      4     5     3     3    35   252   169     0     0   -15      28
chance                   4     5     6     6    30   250   188     5     5     5      11
chance                   4     5     6     6    26   250   256     1     1     4      11
scientific               4     5    10    10    48   253   187     9     9   -22      14
scientific               4     5    10    10    44   253   275     5     5     4      14
use                      4     5     3     3    36   252   174     1     1     8      28
use                      4     5     3     3    35   252    79     0     0     1      28
advances                 4     5     8     8    53   254   233     3     3   -18       5
biotechnology            4     5    13    13    66   256   229     4     4   -13       4
biotechnology            4     5    13    13    64   256   233     2     2     2       4
biotechnology            4     5    13    13    71   256   224     9     9    -7       4
*Off-screen              4   -99    13    13   -99   -99   675   -99   -99   -99     -99
prevent                  5     1     7     7     1   258   437     1     1     0       3
unnecessary              5     1    11    11     9   259   105     1     1    -8       4
unnecessary              5     1    11    11    10   259   176     2     2    -1       4
suffering.               5     1    10     9    25   260   211     5     5   -15       4
suffering.               5     1    10     9    22   260    75     2     2     3       4
*Blink                   5   -99    10     9   -99   -99    98   -99   -99   -99     -99
inconsistency            5     1    13    13    36   262   196     1     1   -99       1
inconsistency            5     1    13    13    40   262   306     5     5    -4       1
striking                 5     1     8     8    53   264   190     1     1   -13       4
is                       5     1     2     2    50   263   191     1     1     3     717
inconsistency            5     1    13    13    48   262    66    13    13     2       1
is                       5     1     2     2    51   263   230     2     2    -3     717
would                    5     1     5     5    66   266   237     1     1   -15     146
striking                 5     1     8     8    60   264   217     8     8     6       4
would                    5     1     5     5    70   266   209     5     5   -10     146
*Off-screen              5   -99     5     5   -99   -99   313   -99   -99   -99     -99
would                    5     1     5     5    70   266   275     5     5   -99     146
striking                 5     1     8     8    58   264   230     6     6    12       4
if                       5     2     2     2     1   269   208     1     1   -99     150
allowed                  5     2     7     7    17   272    90     6     6   -16       5
a                        5     2     1     1    29   275   147     0     0   -12    1434
impede                   5     2     6     6    24   274   172     2     2     5       1
beneficial               5     2    10    10    39   276   150     8     8   -15       1
beneficial               5     2    10    10    35   276   271     4     4     4       1
solution.                5     2     9     8    46   277   104     4     4   -11       4
beneficial               5     2    10    10    36   276    70     5     5    10       1
beneficial               5     2    10    10    36   276   113     5     5     0       1
beneficial               5     2    10    10    39   276   100     8     8    -3       1
HFEA                     5     2     4     4    61   279    67     1     1   -22       6
already                  5     2     7     7    70   280   357     5     5    -9      24
already                  5     2     7     7    71   280    51     6     6    -1      24
already                  5     2     7     7    69   280   100     4     4     2      24
*Off-screen              5   -99     7     7   -99   -99   164   -99   -99   -99     -99
tissue-type              5     3    11    11     2   282   200     2     2   -99     -99
screening                5     3     9     9    12   283    81     0     0   -10       3
these                    5     5     5     5    24   309    85     4     4   -99      73
these                    5     5     5     5    21   309    72     1     1     3      73
principle                5     3     9     9    34   285   166     9     9   -99       8
principle                5     3     9     9    30   285   227     5     5     4       8
December.                5     3     9     8    45   287   200     7     7   -15       2
December.                5     3     9     8    42   287    59     4     4     3       2
principle                5     3     9     9    29   285   231     4     4    13       8
principle                5     3     9     9    32   285   145     7     7    -3       8
principle                5     3     9     9    26   285    70     1     1     6       8
reasons                  5     5     7     7    56   315    68     0     0   -99       6
latest                   5     3     6     6    54   289    53     1     1   -99      13
latest                   5     3     6     6    57   289   101     4     4    -3      13
latest                   5     3     6     6    55   289   181     2     2     2      13
This                     5     3     4     4    52   288   172     4     4     3     293
move                     5     3     4     4    63   290   115     3     3   -11      10
reasons                  5     5     7     7    63   315    89     7     7   -99       6
logical                  5     3     7     7    72   293   131     2     2   -99       1
a                        5     3     1     1    68   292   226     0     0     4    1434
logical                  5     3     7     7    77   293   179     7     7    -9       1
advance.                 5     4     8     7     1   294   101     1     1   -99       4
welcome                  5     4     7     7    21   297   107     5     5   -20       7
can                      5     4     3     3    13   296   258     1     1     8     123
welcome                  5     4     7     7    22   297   253     6     6    -9       7
and                      5     4     3     3    29   299   107     0     0    -7    1283
and                      5     4     3     3    29   299    52     0     0     0    1283
and                      5     4     3     3    32   299    77     3     3    -3    1283
still                    5     4     5     5    34   300   239     1     1    -2      52
accept                   5     4     6     6    39   301    84     0     0    -5       7
accept                   5     4     6     6    45   301   228     6     6    -6       7
need                     5     4     4     4    53   303   214     3     3    -8      36
need                     5     4     4     4    51   303   167     1     1     2      36
maintain                 5     4     8     8    62   305   154     4     4   -11       5
maintain                 5     4     8     8    58   305    98     0     0     4       5
the                      5     4     3     3    70   306   154     3     3   -12    3511
between                  5     5     7     7    16   308   111     4     4   -99      42
these                    5     5     5     5    25   309    75     5     5    -9      73
and                      5     5     3     3    28   310    58     2     2    -3    1283
these                    5     5     5     5    24   309   219     4     4     4      73
more                     5     5     4     4    34   311   491     4     4   -10     168
frivolous                5     5     9     9    41   312   146     6     6    -7       2
dubious                  5     5     7     7    49   314   136     1     1    -8       2
dubious                  5     5     7     7    48   314   160     0     0     1       2
reasons                  5     5     7     7    61   315   317     5     5   -13       6
why                      5     5     3     3    67   316   234     3     3    -6      35
parents                  5     5     7     7    74   317   285     6     6    -7      21
parents                  5     5     7     7    69   317   221     1     1     5      21
to                       5     5     2     2    76   257   267     0     0    -7    1597
might                    6     1     5     5     1   318   359     1     1     0      56
want                     6     1     4     4     7   319   104     1     1    -6      40
opt                      6     1     3     3    16   321    87     2     2    -9       3
